comment,toxic,PER,LOC,ORG,positive,negative,neutral,speech,skip,rude
Хули тут сложного?А) -10Б) 15/6Гуманитарий в треде  кстати,0,1,0,0,0.0229873675853014,0.0191340371966362,0.5312193632125854,0.00038998457603156567,0.2393593490123749,0
количество экспертов в интернетных спорах упало на 69%,0,0,0,0,0.02369946800172329,0.5000100135803223,0.7122421860694885,0.0017646141350269315,0.02518884465098381,0
хммммм  задумался над монетизацией,0,0,0,0,0.016924913972616196,0.02443309314548969,0.8080772161483765,1.000000338535756e-05,0.040855713188648224,0
Ну а что  зато все мамины эксперты во всех областях сразу же испарились по щелчку пальцев.,0,0,0,0,0.02369946800172329,0.3140605390071869,0.5000100135803223,0.002560912864282727,0.1778208613395691,0
Бугагага) гендерные исследователи и политические аналитики теперь заняты дискриминацией другого толка) например извлечением корня через дискриминант),1,0,0,0,0.1067005917429924,0.05501529201865196,0.6723417043685913,0.007355827372521163,0.05835584178566933,0
А  патау  ясно.....,0,0,0,0,0.0026416745968163013,0.06755668669939041,0.5621865391731262,1.000000338535756e-05,0.40734341740608215,0
Пора закрывать твиттер,0,0,0,0,0.009718479588627815,0.03733688220381737,0.880807101726532,1.000000338535756e-05,0.1294127255678177,0
Они настолько тупые  что не знают про ГДЗ?,1,0,0,1,0.0013770253863185644,0.3007555902004242,0.8706072568893433,1.000000338535756e-05,0.2509227991104126,0
Позвонил в штаб навального  а мне координатор шёпотом сказал  что у него матеша и отключился.,0,0,0,0,0.04886778444051743,0.16027602553367615,0.5000100135803223,0.001108730910345912,0.275139719247818,0
Вот в наши времена все учились на отлично  сами и делали домашку,0,0,0,0,0.3557848632335663,0.1294127255678177,0.0980893224477768,0.0028995804022997613,0.050340626388788216,0
Интернет знатоки не знают  что такое калькулятор,0,0,0,0,0.1097157895565033,0.0695517510175705,0.6859594583511353,1.000000338535756e-05,0.09269777685403824,0
Вполне балдежный хэштег,0,0,0,0,0.538993239402771,0.022296184673905373,0.11921291798353195,0.0009797518141567707,0.020974241197109226,0
Так в твиттере верхний порог регистрации 60 IQ  хуле вы хотели-то,1,0,0,0,0.008071991614997387,0.061885979026556015,0.9591643214225768,0.0005293049616739154,0.06755668669939041,0
Блять  может я чего-то не понимаю  но как нахуй 14-15-летним лбом (8 класс же) не посчитать простейшую дробь. Как они выживают потом вообще?,1,0,0,0,0.032110705971717834,0.6926519870758057,0.16886694729328156,0.007355827372521163,0.1097157895565033,1
Просто кейпоп сушит мозги,1,0,0,0,0.008071991614997387,0.538993239402771,0.3415925204753876,1.000000338535756e-05,0.19194278120994568,0
Лучше это видеть там  чем умопомрачительные россказни про кровавый режим  чествования месяца ЛГБТ или ещё чего. Так хотя бы при желании и самому мозги можно поднапрячь и тряхнуть стариной.,0,0,0,0,0.10088862478733064,0.1520422399044037,0.6584275364875793,0.003955406602472067,0.051855459809303284,0
Символично,0,0,0,0,0.07586817443370819,0.0013770253863185644,0.952584147453308,1.000000338535756e-05,0.0004978571087121964,0
Season by season в Твиттер. Winter. PhD политологии.Spring. К. м. н. вирусологии.Summer. Юристы-конституционалисты.Fall. Эксперты в области математического и тензорного анализа. При необходимости начать сначала,0,0,1,1,0.02596735954284668,0.08270734548568726,0.9553291201591492,0.0028995804022997613,0.05835584178566933,0
Чет мне кажется пиздит про 8 класс  класс 4 или 5 максимум по заданиям.,1,0,0,0,0.14805719256401062,0.07160120457410812,0.3775506913661957,1.000000338535756e-05,0.05341333150863648,1
Ну неее  мне кажется  что это рофл. Ну не могут быть люди НАСТОЛЬКО пустоголовыми,1,0,0,1,0.09535945951938628,0.5234303474426271,0.26285186409950256,1.000000338535756e-05,0.16027602553367615,0
Уровень интеллекта не позволяет загуглить онлайн калькуляторы,1,0,0,0,0.1259327530860901,0.1259327530860901,0.8221991658210754,1.000000338535756e-05,0.0566624328494072,0
Тупые пиздец,1,0,0,0,1.000000338535756e-05,1.0000100135803225,1.000000338535756e-05,0.00037829793291166425,0.5078218579292297,1
Какие ещё нужны доказательства что кпоп девочки тупые что пиздец,1,0,0,0,0.06009664759039879,0.6150978803634644,0.1067005917429924,0.013646835461258888,0.14805719256401062,1
Тьфу  пропащее поколение. То ли дело в наше время  никто в интернете за нас ничего не решал  домашку списывали лично у одноклассников!,0,0,0,0,0.14805719256401062,0.4843900501728058,0.41490885615348816,0.0013770253863185644,0.051855459809303284,0
"Та бля, эти твитерские дурачки просто бездельники, которые ничего не умеют кроме как пилить свои ""важные"" размышления на тему всякого левого бреда",1,0,0,0,0.10375863313674928,0.7122421860694885,0.14415885508060455,0.017452487722039226,0.07586817443370819,1
У меня был dial-up  и за не сделанную домашка  я стоял у доски до победного.,0,0,0,0,0.1294127255678177,0.11280541121959685,0.320831298828125,0.0018775658681988718,0.33459946513175964,0
Блять  нет  нет  нетнетнетнетнет  нельзя в восьмом и после 11-го страдать от таких простых заданий,1,0,0,0,0.016924913972616196,0.8221991658210754,0.3415925204753876,0.0029910325538367033,0.16027602553367615,1
Гоголев был прав.,0,1,0,0,0.0034934247378259893,0.3007555902004242,0.38492217659950256,1.000000338535756e-05,0.08270734548568726,0
b = 3 там же написано,0,0,0,0,0.002333162352442741,0.001335022272542119,0.9939124584197998,1.000000338535756e-05,0.006702851038426161,0
И эти утырки - будущее нашей страны? В таком случае у России нет будущего.,1,0,1,0,0.002333162352442741,0.1067005917429924,0.9796776771545409,0.001108730910345912,0.038476187735795975,0
Нормальные пацаны или не делают нихуя  или списывают с ГДЗ если совсем прижмёт,0,0,0,1,0.0071314298547804356,0.6224693655967712,0.7879412174224854,0.0029910325538367033,0.03515484184026718,0
"Да... ""с такими спецами нам не летать к далёкому космосу"" (с)",0,0,0,0,0.03964884206652641,0.09010298550128937,0.3557848632335663,0.0018202114151790734,0.3073680400848389,0
Скажут еще что матеша угнетает и потребуют ее запретить.,0,0,0,0,0.03623005375266075,0.1968362182378769,0.7186043858528137,0.0006978511810302733,0.18714269995689392,0
"Ну хз, я по своему классу помню, в математику могли не многие (процентов 30 от класса). Особенно если лицом щелками в момент объяснения правил. Прощелкал как нужно решать - все, можно дальше даже не пытаться самому что-то решать. Я так в классе 10-11 с логарифмами, а позже, с высшей математикой матрицами просел. Я тупо не понимал и не знал как их решать, ибо прои?ал теорию.В любом случае, пусть лучше в образовач уходят и с помощью соц. сетей решают ""жизненные"" для них проблемы.",0,0,0,0,0.06755668669939041,0.16886694729328156,0.538993239402771,0.005394937004894018,0.14034625887870789,0
Как буковы-то складывать? Я знаю только ЛГБТКИАП+СЖВКГБ.,1,0,0,0,0.009718479588627815,0.11280541121959685,0.8031837940216064,0.0010105045512318613,0.1778208613395691,0
Отлично! Через соцсети проверят уровень образованности каждого пользователя),0,0,0,0,0.1732981950044632,0.00507033197209239,0.6926519870758057,0.010996942408382893,0.06009664759039879,0
Растет поколение  которому все обязаны🤦‍♂️,0,0,0,0,0.14805719256401062,0.24509501457214355,0.6513648629188538,0.006299902219325304,0.007825888693332672,0
Ооо технарей порвало,0,0,0,0,0.026769286021590236,0.02596735954284668,0.7490972280502319,1.000000338535756e-05,0.05501529201865196,0
Wolfram Alfa в помощь) хотя нет  там интерфейс на английском  это сложна))0),0,0,0,1,0.0980893224477768,0.005564924795180559,0.9344051480293274,0.0016078451881185176,0.04209772497415543,0
6-7 класс,0,0,0,0,0.5000100135803223,1.000000338535756e-05,0.9481645226478576,1.000000338535756e-05,0.00034535021404735744,0
И ещё примеры такие простые,0,0,0,0,0.040855713188648224,0.4455395638942719,0.6150978803634644,0.0017646141350269315,0.01641303114593029,0
